ocid,compiledRelease/id,compiledRelease/awards/0/id,compiledRelease/awards/0/value/amount,compiledRelease/awards/0/value/currency,compiledRelease/awards/0/value/currencyName,compiledRelease/awards/0/date
ocds-dgv273-seacev3-1251159,ocds-dgv273-seacev3-1251159-2026-09-18T10:23:24.489217-05:00,1251159-20539765061,490000.0,PEN,Soles,2026-09-17T00:00:00-05:00
ocds-dgv273-seacev3-1246642,ocds-dgv273-seacev3-1246642-2026-09-18T10:23:24.218374-05:00,1246642-20415955821,101750.0,PEN,Soles,2026-09-02T00:00:00-05:00
ocds-dgv273-seacev3-1243382,ocds-dgv273-seacev3-1243382-2026-09-18T10:23:24.196821-05:00,1243382-20615763889,77950.0,PEN,Soles,2026-08-27T00:00:00-05:00
ocds-dgv273-seacev3-1246804,ocds-dgv273-seacev3-1246804-2026-09-18T10:23:24.173978-05:00,1246804-1831770,6893593.39,PEN,Soles,2026-09-16T00:00:00-05:00
ocds-dgv273-seacev3-2026-10182-11,ocds-dgv273-seacev3-2026-10182-11-2026-09-18T10:23:24.143456-05:00,1242703-20603145870,177000.0,PEN,Soles,2026-09-09T00:00:00-05:00
ocds-dgv273-seacev3-2026-1921-69,ocds-dgv273-seacev3-2026-1921-69-2026-09-18T10:23:24.130387-05:00,1238553-20106636011,775850.0,PEN,Soles,2026-09-16T00:00:00-05:00
ocds-dgv273-seacev3-1244062,ocds-dgv273-seacev3-1244062-2026-09-18T10:23:23.985206-05:00,1244062-20601148235,242250.0,PEN,Soles,2026-09-08T00:00:00-05:00
ocds-dgv273-seacev3-1244958,ocds-dgv273-seacev3-1244958-2026-09-18T10:23:23.934066-05:00,1244958-10329640553,84360.0,PEN,Soles,2026-09-01T00:00:00-05:00
ocds-dgv273-seacev3-1238475,ocds-dgv273-seacev3-1238475-2026-09-18T10:23:23.891163-05:00,1238475-20606223553,122514.4,PEN,Soles,2026-08-25T00:00:00-05:00
ocds-dgv273-seacev3-1241594,ocds-dgv273-seacev3-1241594-2026-09-18T10:23:23.812186-05:00,1241594-20607123145,159750.0,PEN,Soles,2026-08-26T00:00:00-05:00
ocds-dgv273-seacev3-1241618,ocds-dgv273-seacev3-1241618-2026-09-18T10:23:23.680645-05:00,1241618-20604475059,49499.0,PEN,Soles,2026-09-08T00:00:00-05:00
ocds-dgv273-seacev3-1244772,ocds-dgv273-seacev3-1244772-2026-09-18T10:23:23.629091-05:00,1244772-20109709116,199000.0,PEN,Soles,2026-09-09T00:00:00-05:00
ocds-dgv273-seacev3-1246180,ocds-dgv273-seacev3-1246180-2026-09-18T10:23:23.559385-05:00,1246180-1830575,106694.03,PEN,Soles,2026-09-11T00:00:00-05:00
ocds-dgv273-seacev3-1244710,ocds-dgv273-seacev3-1244710-2026-09-18T10:23:23.478253-05:00,1244710-1830348,1413547.1,PEN,Soles,2026-09-16T00:00:00-05:00
ocds-dgv273-seacev3-1238071,ocds-dgv273-seacev3-1238071-2026-09-18T10:23:23.436315-05:00,1238071-20556580210,399359.13,PEN,Soles,2026-08-20T00:00:00-05:00
ocds-dgv273-seacev3-1238071,ocds-dgv273-seacev3-1238071-2026-09-18T10:23:23.436315-05:00,1238071-20117354793,196093.9,PEN,Soles,2026-08-20T00:00:00-05:00
ocds-dgv273-seacev3-1240193,ocds-dgv273-seacev3-1240193-2026-09-18T10:23:23.345758-05:00,1240193-1822669,395781.64,PEN,Soles,2026-08-24T00:00:00-05:00
ocds-dgv273-seacev3-1244427,ocds-dgv273-seacev3-1244427-2026-09-18T10:23:23.283273-05:00,1244427-10439657150,94980.8,PEN,Soles,2026-08-31T00:00:00-05:00
ocds-dgv273-seacev3-1243825,ocds-dgv273-seacev3-1243825-2026-09-18T10:23:23.189119-05:00,1243825-1827894,178135.23,PEN,Soles,2026-09-04T00:00:00-05:00
ocds-dgv273-seacev3-1243477,ocds-dgv273-seacev3-1243477-2026-09-18T10:23:23.040230-05:00,1243477-10437595157,102500.0,PEN,Soles,2026-09-02T00:00:00-05:00
ocds-dgv273-seacev3-1242340,ocds-dgv273-seacev3-1242340-2026-09-18T10:23:23.013014-05:00,1242340-20610870270,118990.0,PEN,Soles,2026-09-07T00:00:00-05:00
ocds-dgv273-seacev3-1250817,ocds-dgv273-seacev3-1250817-2026-09-18T10:23:22.502598-05:00,1250817-20600370805,138000.0,PEN,Soles,2026-09-16T00:00:00-05:00
ocds-dgv273-seacev3-1241570,ocds-dgv273-seacev3-1241570-2026-09-18T10:23:22.404738-05:00,1241570-20607007781,275000.0,PEN,Soles,2026-08-26T00:00:00-05:00
ocds-dgv273-seacev3-1242931,ocds-dgv273-seacev3-1242931-2026-09-18T10:23:22.328178-05:00,1242931-20490040952,155000.0,PEN,Soles,2026-08-31T16:36:13-05:00
ocds-dgv273-seacev3-2026-1336-4,ocds-dgv273-seacev3-2026-1336-4-2026-09-18T10:23:22.302821-05:00,1245090-20418896915,45900.0,PEN,Soles,2026-09-08T00:00:00-05:00
ocds-dgv273-seacev3-1239840,ocds-dgv273-seacev3-1239840-2026-09-18T10:23:22.287004-05:00,1239840-20604241341,170392.0,PEN,Soles,2026-09-02T00:00:00-05:00
ocds-dgv273-seacev3-1243859,ocds-dgv273-seacev3-1243859-2026-09-18T10:23:22.229185-05:00,1243859-20600533712,119500.0,PEN,Soles,2026-09-16T00:00:00-05:00
ocds-dgv273-seacev3-1245751,ocds-dgv273-seacev3-1245751-2026-09-18T10:23:22.173307-05:00,1245751-20564019624,121250.0,PEN,Soles,2026-09-17T00:00:00-05:00
ocds-dgv273-seacev3-1243282,ocds-dgv273-seacev3-1243282-2026-09-18T10:23:21.992263-05:00,1243282-20601556155,492550.7,PEN,Soles,2026-09-02T00:00:00-05:00
ocds-dgv273-seacev3-1250586,ocds-dgv273-seacev3-1250586-2026-09-18T10:23:21.960808-05:00,1250586-10106195671,36000.0,PEN,Soles,2026-09-16T00:00:00-05:00
ocds-dgv273-seacev3-1241123,ocds-dgv273-seacev3-1241123-2026-09-18T10:23:21.728864-05:00,1241123-20613527134,155250.0,PEN,Soles,2026-08-27T00:00:00-05:00
ocds-dgv273-seacev3-1239259,ocds-dgv273-seacev3-1239259-2026-09-18T10:23:21.686120-05:00,1239259-20609347377,239800.0,PEN,Soles,2026-09-16T00:00:00-05:00
ocds-dgv273-seacev3-1250261,ocds-dgv273-seacev3-1250261-2026-09-18T10:23:21.589011-05:00,1250261-10475490873,126342.39,PEN,Soles,2026-09-17T00:00:00-05:00
ocds-dgv273-seacev3-1243458,ocds-dgv273-seacev3-1243458-2026-09-18T10:23:21.520799-05:00,1243458-20463595004,40249.68,PEN,Soles,2026-09-09T00:00:00-05:00
ocds-dgv273-seacev3-1242453,ocds-dgv273-seacev3-1242453-2026-09-18T10:23:21.487500-05:00,1242453-20605995510,57960.0,PEN,Soles,2026-09-09T00:00:00-05:00
ocds-dgv273-seacev3-1241721,ocds-dgv273-seacev3-1241721-2026-09-18T10:23:21.470624-05:00,1241721-20600020634,218182.0,PEN,Soles,2026-08-28T00:00:00-05:00
ocds-dgv273-seacev3-2026-2543-685,ocds-dgv273-seacev3-2026-2543-685-2026-09-18T10:23:21.437825-05:00,1245963-20462793791,236990.4,PEN,Soles,2026-09-16T00:00:00-05:00
ocds-dgv273-seacev3-1245402,ocds-dgv273-seacev3-1245402-2026-09-18T10:23:21.398721-05:00,1245402-10251857470,56720.0,PEN,Soles,2026-09-08T00:00:00-05:00
ocds-dgv273-seacev3-1243724,ocds-dgv273-seacev3-1243724-2026-09-18T10:23:21.386641-05:00,1243724-20603365080,125634.6,PEN,Soles,2026-09-16T00:00:00-05:00
ocds-dgv273-seacev3-1242652,ocds-dgv273-seacev3-1242652-2026-09-18T10:23:21.313948-05:00,1242652-1826656,253592.61,PEN,Soles,2026-09-02T00:00:00-05:00
ocds-dgv273-seacev3-1238510,ocds-dgv273-seacev3-1238510-2026-09-18T10:23:21.288319-05:00,1238510-20538403378,100320.0,PEN,Soles,2026-08-19T00:00:00-05:00
ocds-dgv273-seacev3-1238510,ocds-dgv273-seacev3-1238510-2026-09-18T10:23:21.288319-05:00,1238510-20600907558,74400.0,PEN,Soles,2026-08-19T00:00:00-05:00
ocds-dgv273-seacev3-1242439,ocds-dgv273-seacev3-1242439-2026-09-18T10:23:21.113101-05:00,1242439-1826186,3198635.17,PEN,Soles,2026-09-04T00:00:00-05:00
ocds-dgv273-seacev3-2026-200191-4,ocds-dgv273-seacev3-2026-200191-4-2026-09-18T10:23:21.097248-05:00,1241806-10443351537,74000.0,PEN,Soles,2026-09-08T00:00:00-05:00
ocds-dgv273-seacev3-1245932,ocds-dgv273-seacev3-1245932-2026-09-18T10:23:21.069871-05:00,1245932-20607274810,131950.0,PEN,Soles,2026-09-17T00:00:00-05:00
ocds-dgv273-seacev3-1243659,ocds-dgv273-seacev3-1243659-2026-09-18T10:23:21.045218-05:00,1243659-20606723611,290000.0,PEN,Soles,2026-09-16T00:00:00-05:00
ocds-dgv273-seacev3-1243497,ocds-dgv273-seacev3-1243497-2026-09-18T10:23:21.025830-05:00,1243497-20534534494,360000.0,PEN,Soles,2026-09-17T00:00:00-05:00
