ocid,compiledRelease/id,compiledRelease/tag,compiledRelease/date,compiledRelease/ocid,compiledRelease/publishedDate,compiledRelease/initiationType,compiledRelease/buyer/id,compiledRelease/buyer/name,compiledRelease/planning/budget/description,compiledRelease/tender/id,compiledRelease/tender/title,compiledRelease/tender/description,compiledRelease/tender/procuringEntity/id,compiledRelease/tender/procuringEntity/name,compiledRelease/tender/datePublished,compiledRelease/tender/procurementMethod,compiledRelease/tender/procurementMethodDetails,compiledRelease/tender/mainProcurementCategory,compiledRelease/tender/additionalProcurementCategories,compiledRelease/tender/value/amount,compiledRelease/tender/value/currency,compiledRelease/tender/value/currencyName,compiledRelease/tender/value/amount_PEN,compiledRelease/tender/tenderPeriod/startDate,compiledRelease/tender/tenderPeriod/endDate,compiledRelease/tender/numberOfTenderers,compiledRelease/tender/hasTenderInformationProtectedByLaw,compiledRelease/dataSegmentation/id,compiledRelease/dataSegmentation/criteria,compiledRelease/planning/budget/amount/amount,compiledRelease/planning/budget/amount/currency,compiledRelease/planning/budget/amount/currencyName,compiledRelease/tender/enquiryPeriod/startDate,compiledRelease/tender/enquiryPeriod/endDate,compiledRelease/tender/enquiryPeriod/durationInDays,compiledRelease/planning/budget/project,compiledRelease/planning/budget/projectID
ocds-dgv273-seacev3-1241736,ocds-dgv273-seacev3-1241736-2026-09-18T10:22:46.972301-05:00,compiled,2026-09-18T10:22:46.972288-05:00,ocds-dgv273-seacev3-1241736,2026-09-18T10:22:46.972306-05:00,tender,PE-CONSUCODE-53,GOBIERNO REGIONAL DE UCAYALI SEDE CENTRAL,Fondos Públicos,1241736,LP-ABR-28-2026-GRU-GR-C-1,CONTRATACIÓN PARA LA EJECUCIÓN DE LA OBRA: ¿MEJORAMIENTO DEL SERVICIO DE EDUCACIÓN INICIAL EN I.E. 377-B DISTRITO DE YARINACOCHA DE LA PROVINCIA DE CORONEL PORTILLO DEL DEPARTAMENTO DE UCAYALI¿ CUI N° 2616464,PE-CONSUCODE-53,GOBIERNO REGIONAL DE UCAYALI SEDE CENTRAL,2026-08-14T20:45:00-05:00,,Licitación Pública Abreviada,works,works,6144417.74,PEN,Soles,6144417.74,2026-08-14T00:00:00-05:00,2026-08-14T00:00:00-05:00,,True,2026-08,añoInicioConvocatoria;mesInicioConvocatoria,,,,2026-08-15T00:01:00-05:00,2026-08-19T23:59:00-05:00,4,MEJORAMIENTO DEL SERVICIO DE EDUCACIÓN INICIAL EN I.E. 377-B   DISTRITO DE YARINACOCHA DE LA PROVINCIA DE CORONEL PORTILLO DEL DEPARTAMENTO DE UCAYALI,2616464
ocds-dgv273-seacev3-1238427,ocds-dgv273-seacev3-1238427-2026-09-18T10:22:46.965584-05:00,compiled,2026-09-18T10:22:46.965571-05:00,ocds-dgv273-seacev3-1238427,2026-09-18T10:22:46.965589-05:00,tender,PE-CONSUCODE-720,MUNICIPALIDAD PROVINCIAL DE SAN PABLO,Fondos Públicos,1238427,CP CON-SM-1-2026-MPSP/J-1,"Contratación del servicio consultoría de Obra para Supervisión de la Obra: : MEJORAMIENTO  Y AMPLIACIÓN DEL SERVICIO DE ATENCIÓN DE SALUD BÁSICOS EN SANTA ROSA DE UNANCA DEL CENTRO POBLADO SANTA ROSA DE UNANCA,  DE LA PROVINCIA DE SAN PABLO,  DEL DEPARTAMENTO DE SAN PABLO CON CUI N° 2704977",PE-CONSUCODE-720,MUNICIPALIDAD PROVINCIAL DE SAN PABLO,2026-08-04T15:39:00-05:00,,Concurso Público para Consultoría,services,services,0.0,PEN,Soles,0.0,2026-08-04T00:00:00-05:00,2026-08-04T00:00:00-05:00,,True,2026-08,añoInicioConvocatoria;mesInicioConvocatoria,,,,2026-08-05T00:01:00-05:00,2026-08-14T23:59:00-05:00,9,MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE ATENCIÓN DE SALUD BÁSICOS EN SANTA ROSA DE UNANCA  DE CENTRO POBLADO SANTA ROSA DE UNANCA DISTRITO DE SAN PABLO DE LA PROVINCIA DE SAN PABLO DEL DEPARTAMENTO DE CAJAMARCA,2704977
ocds-dgv273-seacev3-1244595,ocds-dgv273-seacev3-1244595-2026-09-18T10:22:46.916544-05:00,compiled,2026-09-18T10:22:46.916531-05:00,ocds-dgv273-seacev3-1244595,2026-09-18T10:22:46.916549-05:00,tender,PE-CONSUCODE-200551,INSTITUTO NACIONAL DE SALUD DEL NIÑO - SAN BORJA,Fondos Públicos,1244595,LP-ABR-40-2025-INSN-SB-2,ADQUISICIÓN DE IMPLANTE PROTÉSICO PREFORMADO CON DATOS TOMOGRÁFICOS 3MM PARA LA PACIENTE H.M.K.,PE-CONSUCODE-200551,INSTITUTO NACIONAL DE SALUD DEL NIÑO - SAN BORJA,2026-08-26T11:17:00-05:00,,Licitación Pública Abreviada,goods,goods,0.0,PEN,Soles,0.0,2026-08-26T00:00:00-05:00,2026-08-26T00:00:00-05:00,,True,2026-08,añoInicioConvocatoria;mesInicioConvocatoria,,,,2026-08-27T00:01:00-05:00,2026-08-31T23:59:00-05:00,4,,
ocds-dgv273-seacev3-1241501,ocds-dgv273-seacev3-1241501-2026-09-18T10:22:46.909748-05:00,compiled,2026-09-18T10:22:46.909733-05:00,ocds-dgv273-seacev3-1241501,2026-09-18T10:22:46.909753-05:00,tender,PE-CONSUCODE-200363,CENTRO NACIONAL DE ABASTECIMIENTO DE RECURSOS ESTRATEGICOS EN SALUD,Fondos Públicos,1241501,LP Homologación-ABR-7-2026-CENARES/MINSA-1,ADQUISICIÓN DE DISPOSITIVO MÉDICO PARA EL ABASTECIMIENTO CENTRALIZADO POR UN PERIODO DE DOCE (12) MESES ¿ CANULA BINASAL PARA OXIGENO PEDIATRICO.,PE-CONSUCODE-200363,CENTRO NACIONAL DE ABASTECIMIENTO DE RECURSOS ESTRATEGICOS EN SALUD,2026-08-25T19:14:00-05:00,,Licitación Pública Abreviada Homologación,goods,goods,0.0,PEN,Nuevos Soles,0.0,2026-08-25T00:00:00-05:00,2026-08-25T00:00:00-05:00,,True,2026-08,añoInicioConvocatoria;mesInicioConvocatoria,,,,2026-08-26T00:01:00-05:00,2026-08-28T23:59:00-05:00,2,,
ocds-dgv273-seacev3-1244328,ocds-dgv273-seacev3-1244328-2026-09-18T10:22:46.899617-05:00,compiled,2026-09-18T10:22:46.899600-05:00,ocds-dgv273-seacev3-1244328,2026-09-18T10:22:46.899625-05:00,tender,PE-CONSUCODE-491,MUNICIPALIDAD DISTRITAL DE ISLAY,Fondos Públicos,1244328,LP-ABR-3-2026-MDI-1,"CONTRATACIÓN DE LA EJECUCIÓN DE LA OBRA IOARR RENOVACION DE COBERTURA, REPARACION DE MOBILIARIO URBANO; EN EL (LA) EL PARQUE LA FLORIDA DISTRITO DE ISLAY, PROVINCIA DE ISLAY, DEPARTAMENTO DE AREQUIPA, CON CUI N° 2729395",PE-CONSUCODE-491,MUNICIPALIDAD DISTRITAL DE ISLAY,2026-08-25T18:11:00-05:00,,Licitación Pública Abreviada,works,works,306286.77,PEN,Soles,306286.77,2026-08-25T00:00:00-05:00,2026-08-25T00:00:00-05:00,16,False,2026-08,añoInicioConvocatoria;mesInicioConvocatoria,,,,2026-08-26T00:01:00-05:00,2026-08-28T23:59:00-05:00,2,"RENOVACION DE COBERTURA; REPARACION DE MOBILIARIO URBANO; EN EL(LA) EL PARQUE LA FLORIDA  DISTRITO DE ISLAY, PROVINCIA ISLAY, DEPARTAMENTO AREQUIPA",2729395
ocds-dgv273-seacev3-2026-2409-3,ocds-dgv273-seacev3-2026-2409-3-2026-09-18T10:22:46.893211-05:00,compiled,2026-09-18T10:22:46.893197-05:00,ocds-dgv273-seacev3-2026-2409-3,2026-09-18T10:22:46.893216-05:00,tender,PE-CONSUCODE-2409,SOCIEDAD ELECTRICA DEL SUR OESTE S.A.,Fondos Públicos,1242498,CP SER-SM-16-2026-SEAL-1,SERVICIO DE MANTENIMIENTO DEL SISTEMA DE TRANSMISION DE SEAL,PE-CONSUCODE-2409,SOCIEDAD ELECTRICA DEL SUR OESTE S.A.,2026-08-18T20:49:00-05:00,,Concurso Público de Servicios,services,services,0.0,PEN,Soles,0.0,2026-08-18T00:00:00-05:00,2026-08-18T00:00:00-05:00,,True,2026-08,añoInicioConvocatoria;mesInicioConvocatoria,,,,2026-08-19T00:01:00-05:00,2026-08-28T23:59:00-05:00,9,,
ocds-dgv273-seacev3-1242301,ocds-dgv273-seacev3-1242301-2026-09-18T10:22:46.886227-05:00,compiled,2026-09-18T10:22:46.886213-05:00,ocds-dgv273-seacev3-1242301,2026-09-18T10:22:46.886232-05:00,tender,PE-CONSUCODE-1926,BANCO CENTRAL DE RESERVA DEL PERÚ,Fondos Públicos,1242301,LP-ABR-6-2026-BCRPLIM-3,"Adquisición e instalación de repuestos para el mantenimiento del sistema de carga y descarga de cajas al vacío en la bóveda principal, atención a bancos y procesamiento de numerario",PE-CONSUCODE-1926,BANCO CENTRAL DE RESERVA DEL PERÚ,2026-08-18T16:22:00-05:00,,Licitación Pública Abreviada,goods,goods,0.0,PEN,Soles,0.0,2026-08-18T00:00:00-05:00,2026-08-18T00:00:00-05:00,,True,2026-08,añoInicioConvocatoria;mesInicioConvocatoria,,,,2026-08-19T00:01:00-05:00,2026-08-24T23:59:00-05:00,5,,
ocds-dgv273-seacev3-2026-10141-26,ocds-dgv273-seacev3-2026-10141-26-2026-09-18T10:22:46.871008-05:00,compiled,2026-09-18T10:22:46.870994-05:00,ocds-dgv273-seacev3-2026-10141-26,2026-09-18T10:22:46.871014-05:00,tender,PE-CONSUCODE-10141,COMISIÓN NACIONAL PARA EL DESARROLLO Y VIDA SIN DROGAS - DEVIDA,Fondos Públicos,1241390,CP-ABR-17-2026-DEVIDA-1,SERVICIO DE SEGURIDAD Y VIGILANCIA PARA LA OFICINA ZONAL SAN JUAN DEL ORO,PE-CONSUCODE-10141,COMISIÓN NACIONAL PARA EL DESARROLLO Y VIDA SIN DROGAS - DEVIDA,2026-08-13T22:25:00-05:00,,Concurso Público Abreviado,services,services,241415.0,PEN,Soles,241415.0,2026-08-13T00:00:00-05:00,2026-08-13T00:00:00-05:00,11,False,2026-08,añoInicioConvocatoria;mesInicioConvocatoria,,,,2026-08-14T00:01:00-05:00,2026-08-18T23:59:00-05:00,4,,
ocds-dgv273-seacev3-1238018,ocds-dgv273-seacev3-1238018-2026-09-18T10:22:46.856570-05:00,compiled,2026-09-18T10:22:46.856557-05:00,ocds-dgv273-seacev3-1238018,2026-09-18T10:22:46.856575-05:00,tender,PE-CONSUCODE-10612,GOBIERNO REGIONAL DE UCAYALI - GERENCIA SUB REGIONAL DE PADRE ABAD AGUAYTIA,Fondos Públicos,1238018,LP-SM-2-2026-GRU-GTPA-C-1,CONTRATACIÓN DE LA EJECUCIÓN DE LA OBRA: ¿MEJORAMIENTO DEL SERVICIO DE EDUCACION PRIMARIA EN I.E. 64861 DE CENTRO POBLADO NUEVO TAHUANTINSUYO DISTRITO DE IRAZOLA DE LA PROVINCIA DE PADRE ABAD DEL DEPARTAMENTO DE UCAYAL¿ CUI. 2650900,PE-CONSUCODE-10612,GOBIERNO REGIONAL DE UCAYALI - GERENCIA SUB REGIONAL DE PADRE ABAD AGUAYTIA,2026-08-03T07:30:00-05:00,open,Licitación Pública,works,works,15862146.03,PEN,Soles,15862146.03,2026-08-03T00:00:00-05:00,2026-08-03T00:00:00-05:00,10,False,2026-08,añoInicioConvocatoria;mesInicioConvocatoria,,,,2026-08-04T00:01:00-05:00,2026-08-13T23:59:00-05:00,9,MEJORAMIENTO DEL SERVICIO DE EDUCACION PRIMARIA EN I.E. 64861  DE CENTRO POBLADO NUEVO TAHUANTINSUYO DISTRITO DE IRAZOLA DE LA PROVINCIA DE PADRE ABAD DEL DEPARTAMENTO DE UCAYALI,2650900
ocds-dgv273-seacev3-1244638,ocds-dgv273-seacev3-1244638-2026-09-18T10:22:46.775758-05:00,compiled,2026-09-18T10:22:46.775743-05:00,ocds-dgv273-seacev3-1244638,2026-09-18T10:22:46.775764-05:00,tender,PE-CONSUCODE-427,MUNICIPALIDAD DISTRITAL DE JOSE MARIA QUIMPER,Fondos Públicos,1244638,LP-ABR-1-2026-MDJMQ-1,"ADQUISICIÓN DE GRASS SINTÉTICO INCLUYE INSTALACIÓN PARA LA OBRA: CREACIÓN DEL SERVICIO DE PRACTICA DEPORTIVA Y/O RECREATIVA EN EL ESTADIO MUNICIPAL EN EL CENTRO POBLADO DEL PUENTE DEL DISTRITO DE JOSÉ MARÍA QUIMPER, PROVINCIA DE CAMANA DEL DEPARTAMENTO DE AREQUIPA",PE-CONSUCODE-427,MUNICIPALIDAD DISTRITAL DE JOSE MARIA QUIMPER,2026-08-26T12:10:00-05:00,,Licitación Pública Abreviada,goods,goods,225216.0,PEN,Soles,225216.0,2026-08-26T00:00:00-05:00,2026-08-26T00:00:00-05:00,10,False,2026-08,añoInicioConvocatoria;mesInicioConvocatoria,,,,2026-08-27T00:01:00-05:00,2026-08-31T23:59:00-05:00,4,CREACION DEL SERVICIO DE PRÁCTICA DEPORTIVA Y/O RECREATIVA EN EL ESTADIO MUNICIPAL EN EL CENTRO POBLADO DEL PUENTE DEL   DISTRITO DE JOSE MARIA QUIMPER DE LA PROVINCIA DE CAMANA DEL DEPARTAMENTO DE AREQUIPA,2727214
