ocid,compiledRelease/id,compiledRelease/awards/0/id,compiledRelease/awards/0/value/amount,compiledRelease/awards/0/value/currency,compiledRelease/awards/0/value/currencyName,compiledRelease/awards/0/date
ocds-dgv273-seacev3-1235992,ocds-dgv273-seacev3-1235992-2026-09-18T10:22:34.241020-05:00,1235992-20490971824,56000.0,PEN,Soles,2026-08-18T00:00:00-05:00
ocds-dgv273-seacev3-1237561,ocds-dgv273-seacev3-1237561-2026-09-18T10:22:33.946338-05:00,1237561-20604095329,90619.98,PEN,Soles,2026-09-01T00:00:00-05:00
ocds-dgv273-seacev3-1234270,ocds-dgv273-seacev3-1234270-2026-09-18T10:22:33.930784-05:00,1234270-1820566,233610.08,PEN,Soles,2026-09-17T00:00:00-05:00
ocds-dgv273-seacev3-1231444,ocds-dgv273-seacev3-1231444-2026-09-18T10:22:33.790444-05:00,1231444-10758144980,135120.0,PEN,Soles,2026-07-15T00:00:00-05:00
ocds-dgv273-seacev3-1231444,ocds-dgv273-seacev3-1231444-2026-09-18T10:22:33.790444-05:00,1231444-10753583357,137225.6,PEN,Soles,2026-07-15T00:00:00-05:00
ocds-dgv273-seacev3-1231870,ocds-dgv273-seacev3-1231870-2026-09-18T10:22:33.740426-05:00,1231870-1814422,400557.54,PEN,Soles,2026-08-04T00:00:00-05:00
ocds-dgv273-seacev3-1232066,ocds-dgv273-seacev3-1232066-2026-09-18T10:22:33.710257-05:00,1232066-20498152555,174920.0,PEN,Soles,2026-09-07T00:00:00-05:00
ocds-dgv273-seacev3-1230441,ocds-dgv273-seacev3-1230441-2026-09-18T10:22:33.629932-05:00,1230441-20606421070,139850.0,PEN,Soles,2026-08-24T00:00:00-05:00
ocds-dgv273-seacev3-2026-1003013319-16,ocds-dgv273-seacev3-2026-1003013319-16-2026-09-18T10:22:33.572576-05:00,1232915-20553890714,667837.35,PEN,Soles,2026-09-08T00:00:00-05:00
ocds-dgv273-seacev3-1229765,ocds-dgv273-seacev3-1229765-2026-09-18T10:22:33.493622-05:00,1229765-20615192008,132900.0,PEN,Soles,2026-08-05T00:00:00-05:00
ocds-dgv273-seacev3-1230693,ocds-dgv273-seacev3-1230693-2026-09-18T10:22:33.348470-05:00,1230693-1816746,111127.68,PEN,Soles,2026-09-07T00:00:00-05:00
ocds-dgv273-seacev3-1237993,ocds-dgv273-seacev3-1237993-2026-09-18T10:22:33.331924-05:00,1237993-1818069,2072562.71,PEN,Soles,2026-08-20T00:00:00-05:00
ocds-dgv273-seacev3-1231495,ocds-dgv273-seacev3-1231495-2026-09-18T10:22:33.315185-05:00,1231495-1824807,7124305.09,PEN,Soles,2026-08-27T00:00:00-05:00
ocds-dgv273-seacev3-1212608,ocds-dgv273-seacev3-1212608-2026-09-18T10:22:29.406998-05:00,1212608-20493043073,1095009.33,PEN,Soles,2026-08-18T00:00:00-05:00
ocds-dgv273-seacev3-1247091,ocds-dgv273-seacev3-1247091-2026-09-18T10:22:29.356057-05:00,1247091-10416469003,30000.0,PEN,Soles,2026-09-03T00:00:00-05:00
ocds-dgv273-seacev3-1246841,ocds-dgv273-seacev3-1246841-2026-09-18T10:22:29.249636-05:00,1246841-1831619,153314969.71,PEN,Soles,2026-09-15T00:00:00-05:00
ocds-dgv273-seacev3-1232144,ocds-dgv273-seacev3-1232144-2026-09-18T10:22:29.234578-05:00,1232144-20489966558,100658.71,PEN,Soles,2026-08-11T00:00:00-05:00
ocds-dgv273-seacev3-1236953,ocds-dgv273-seacev3-1236953-2026-09-18T10:22:28.975419-05:00,1236953-1827007,764092.89,PEN,Soles,2026-09-15T00:00:00-05:00
ocds-dgv273-seacev3-2026-2341-42,ocds-dgv273-seacev3-2026-2341-42-2026-09-18T10:22:28.803288-05:00,1234414-20431995281,515494.86,PEN,Soles,2026-09-04T00:00:00-05:00
ocds-dgv273-seacev3-1236628,ocds-dgv273-seacev3-1236628-2026-09-18T10:22:28.747894-05:00,1236628-1815143,2148409.6,PEN,Soles,2026-07-24T00:00:00-05:00
ocds-dgv273-seacev3-1234752,ocds-dgv273-seacev3-1234752-2026-09-18T10:22:28.725406-05:00,1234752-20603460554,119900.0,PEN,Soles,2026-09-16T00:00:00-05:00
ocds-dgv273-seacev3-2026-10262-6,ocds-dgv273-seacev3-2026-10262-6-2026-09-18T10:22:28.666842-05:00,1237941-20524571901,1772688.0,PEN,Soles,2026-08-20T00:00:00-05:00
ocds-dgv273-seacev3-1232628,ocds-dgv273-seacev3-1232628-2026-09-18T10:22:28.654284-05:00,1232628-20392764373,39040.0,PEN,Soles,2026-08-31T00:00:00-05:00
ocds-dgv273-seacev3-1232173,ocds-dgv273-seacev3-1232173-2026-09-18T10:22:28.430875-05:00,1232173-20606916150,162915.0,PEN,Soles,2026-09-10T00:00:00-05:00
ocds-dgv273-seacev3-1235907,ocds-dgv273-seacev3-1235907-2026-09-18T10:22:28.320414-05:00,1235907-20559644243,40900.0,PEN,Soles,2026-08-27T00:00:00-05:00
ocds-dgv273-seacev3-1230987,ocds-dgv273-seacev3-1230987-2026-09-18T10:22:28.050262-05:00,1230987-20613734725,72500.0,PEN,Soles,2026-09-17T00:00:00-05:00
ocds-dgv273-seacev3-2026-2426-62,ocds-dgv273-seacev3-2026-2426-62-2026-09-18T10:22:28.035187-05:00,1231017-20602391427,1013385.33,PEN,Soles,2026-09-16T00:00:00-05:00
ocds-dgv273-seacev3-1234623,ocds-dgv273-seacev3-1234623-2026-09-18T10:22:27.535787-05:00,1234623-20607735248,136110.0,PEN,Soles,2026-08-03T00:00:00-05:00
ocds-dgv273-seacev3-1237773,ocds-dgv273-seacev3-1237773-2026-09-18T10:22:27.221619-05:00,1237773-1820255,190000.0,PEN,Soles,2026-08-14T00:00:00-05:00
ocds-dgv273-seacev3-1236731,ocds-dgv273-seacev3-1236731-2026-09-18T10:22:27.152776-05:00,1236731-1818994,107014.12,PEN,Soles,2026-08-12T00:00:00-05:00
ocds-dgv273-seacev3-1234886,ocds-dgv273-seacev3-1234886-2026-09-18T10:22:27.066086-05:00,1234886-1826742,536679.08,PEN,Soles,2026-09-17T00:00:00-05:00
ocds-dgv273-seacev3-1235934,ocds-dgv273-seacev3-1235934-2026-09-18T10:22:26.972491-05:00,1235934-20604367167,286750.0,PEN,Soles,2026-09-17T00:00:00-05:00
ocds-dgv273-seacev3-1230105,ocds-dgv273-seacev3-1230105-2026-09-18T10:22:26.768200-05:00,1230105-20543071448,135000.0,PEN,Soles,2026-08-20T00:00:00-05:00
ocds-dgv273-seacev3-2026-200455-8,ocds-dgv273-seacev3-2026-200455-8-2026-09-18T10:22:26.636552-05:00,1237705-20463595004,189882.36,PEN,Soles,2026-08-18T00:00:00-05:00
ocds-dgv273-seacev3-1237451,ocds-dgv273-seacev3-1237451-2026-09-18T10:22:26.552961-05:00,1237451-20555904437,92242.62,PEN,Soles,2026-08-21T00:00:00-05:00
ocds-dgv273-seacev3-1235451,ocds-dgv273-seacev3-1235451-2026-09-18T10:22:26.525626-05:00,1235451-20555422441,103700.0,PEN,Soles,2026-09-16T00:00:00-05:00
ocds-dgv273-seacev3-2026-2557-5,ocds-dgv273-seacev3-2026-2557-5-2026-09-18T10:22:26.508765-05:00,1233925-20332970411,109294.11,PEN,Soles,2026-09-17T00:00:00-05:00
ocds-dgv273-seacev3-2026-2557-5,ocds-dgv273-seacev3-2026-2557-5-2026-09-18T10:22:26.508765-05:00,1233925-20418896915,219005.16,PEN,Soles,2026-09-17T00:00:00-05:00
ocds-dgv273-seacev3-2026-2557-5,ocds-dgv273-seacev3-2026-2557-5-2026-09-18T10:22:26.508765-05:00,1233925-20523470761,107096.88,PEN,Soles,2026-09-17T00:00:00-05:00
ocds-dgv273-seacev3-1236470,ocds-dgv273-seacev3-1236470-2026-09-18T10:22:26.414512-05:00,1236470-20605307737,220000.0,PEN,Soles,2026-08-12T00:00:00-05:00
ocds-dgv273-seacev3-2026-200022-4,ocds-dgv273-seacev3-2026-200022-4-2026-09-18T10:22:26.223974-05:00,1234977-20606383097,238182.0,PEN,Soles,2026-09-09T00:00:00-05:00
ocds-dgv273-seacev3-1234575,ocds-dgv273-seacev3-1234575-2026-09-18T10:22:26.084592-05:00,1234575-1818681,399140.26,PEN,Soles,2026-09-16T00:00:00-05:00
ocds-dgv273-seacev3-2026-200363-45,ocds-dgv273-seacev3-2026-200363-45-2026-09-18T10:22:26.014074-05:00,1234826-20392820541,675000.0,PEN,Soles,2026-09-04T00:00:00-05:00
ocds-dgv273-seacev3-2026-1903-46,ocds-dgv273-seacev3-2026-1903-46-2026-09-18T10:22:25.803092-05:00,1235095-10756633223,158095.0,PEN,Soles,2026-08-12T00:00:00-05:00
ocds-dgv273-seacev3-1230460,ocds-dgv273-seacev3-1230460-2026-09-18T10:22:24.500160-05:00,1230460-1814034,5473732.58,PEN,Soles,2026-08-03T00:00:00-05:00
ocds-dgv273-seacev3-1232613,ocds-dgv273-seacev3-1232613-2026-09-18T10:22:24.379171-05:00,1232613-20556731285,1129000.0,PEN,Soles,2026-09-07T00:00:00-05:00
ocds-dgv273-seacev3-1237320,ocds-dgv273-seacev3-1237320-2026-09-18T10:22:24.339452-05:00,1237320-20603096828,160000.0,PEN,Soles,2026-08-25T00:00:00-05:00
ocds-dgv273-seacev3-1230630,ocds-dgv273-seacev3-1230630-2026-09-18T10:22:23.964563-05:00,1230630-1812043,78990.0,PEN,Soles,2026-07-24T00:00:00-05:00
ocds-dgv273-seacev3-1230630,ocds-dgv273-seacev3-1230630-2026-09-18T10:22:23.964563-05:00,1230630-20455645922,113500.0,PEN,Soles,2026-07-24T00:00:00-05:00
ocds-dgv273-seacev3-1239113,ocds-dgv273-seacev3-1239113-2026-09-18T10:22:23.885694-05:00,1239113-1821291,460000.0,PEN,Soles,2026-09-15T00:00:00-05:00
ocds-dgv273-seacev3-1236299,ocds-dgv273-seacev3-1236299-2026-09-18T10:22:23.735192-05:00,1236299-20522830861,17737012.8,PEN,Soles,2026-08-19T00:00:00-05:00
ocds-dgv273-seacev3-1237011,ocds-dgv273-seacev3-1237011-2026-09-18T10:22:23.425326-05:00,1237011-20557788841,317000.0,PEN,Soles,2026-09-17T00:00:00-05:00
ocds-dgv273-seacev3-1232928,ocds-dgv273-seacev3-1232928-2026-09-18T10:22:23.020769-05:00,1232928-20527656681,186912.0,PEN,Soles,2026-08-25T00:00:00-05:00
ocds-dgv273-seacev3-1230929,ocds-dgv273-seacev3-1230929-2026-09-18T10:22:22.997110-05:00,1230929-10446373671,90610.0,PEN,Soles,2026-09-09T00:00:00-05:00
ocds-dgv273-seacev3-1232062,ocds-dgv273-seacev3-1232062-2026-09-18T10:22:22.856734-05:00,1232062-20203348780,98000.0,PEN,Soles,2026-08-19T00:00:00-05:00
ocds-dgv273-seacev3-1232801,ocds-dgv273-seacev3-1232801-2026-09-18T10:22:22.831529-05:00,1232801-20601231809,104880.0,PEN,Soles,2026-08-14T00:00:00-05:00
ocds-dgv273-seacev3-1232801,ocds-dgv273-seacev3-1232801-2026-09-18T10:22:22.831529-05:00,1232801-1817393,117000.0,PEN,Soles,2026-08-14T00:00:00-05:00
ocds-dgv273-seacev3-1230814,ocds-dgv273-seacev3-1230814-2026-09-18T10:22:22.770808-05:00,1230814-1821967,23337663.53,PEN,Soles,2026-09-04T00:00:00-05:00
ocds-dgv273-seacev3-1230046,ocds-dgv273-seacev3-1230046-2026-09-18T10:22:22.724012-05:00,1230046-20613764101,82740.0,PEN,Soles,2026-07-07T00:00:00-05:00
