ocid,compiledRelease/id,compiledRelease/tag,compiledRelease/date,compiledRelease/ocid,compiledRelease/publishedDate,compiledRelease/initiationType,compiledRelease/buyer/id,compiledRelease/buyer/name,compiledRelease/planning/budget/description,compiledRelease/planning/budget/project,compiledRelease/planning/budget/projectID,compiledRelease/tender/id,compiledRelease/tender/title,compiledRelease/tender/description,compiledRelease/tender/procuringEntity/id,compiledRelease/tender/procuringEntity/name,compiledRelease/tender/datePublished,compiledRelease/tender/procurementMethodDetails,compiledRelease/tender/mainProcurementCategory,compiledRelease/tender/additionalProcurementCategories,compiledRelease/tender/value/amount,compiledRelease/tender/value/currency,compiledRelease/tender/value/currencyName,compiledRelease/tender/value/amount_PEN,compiledRelease/tender/tenderPeriod/startDate,compiledRelease/tender/tenderPeriod/endDate,compiledRelease/tender/enquiryPeriod/startDate,compiledRelease/tender/enquiryPeriod/endDate,compiledRelease/tender/enquiryPeriod/durationInDays,compiledRelease/tender/hasTenderInformationProtectedByLaw,compiledRelease/dataSegmentation/id,compiledRelease/dataSegmentation/criteria,compiledRelease/tender/procurementMethod,compiledRelease/planning/budget/amount/amount,compiledRelease/planning/budget/amount/currency,compiledRelease/planning/budget/amount/currencyName,compiledRelease/tender/numberOfTenderers
ocds-dgv273-seacev3-1240620,ocds-dgv273-seacev3-1240620-2026-08-30T10:02:42.612156-05:00,compiled,2026-08-30T10:02:42.612143-05:00,ocds-dgv273-seacev3-1240620,2026-08-30T10:02:42.612162-05:00,tender,PE-CONSUCODE-1244,MUNICIPALIDAD DISTRITAL DE SANTIAGO DE CHALLAS,Fondos Públicos,CREACION DEL SERVICIO RECREATIVO EN EL SECTOR PUEBLO VIEJO  DISTRITO DE SANTIAGO DE CHALLAS - PROVINCIA DE PATAZ - DEPARTAMENTO DE LA LIBERTAD,2502618,1240620,LP-ABR-3-2026-MDSCH/CS-1,"CONTRATACION DE EJECUCION DE OBRA DEL PROYECTO: ""CREACION DEL SERVICIO RECREATIVO EN EL SECTOR PUEBLO VIEJO DISTRITO SANTIAGO DE CHALLAS - PROVINCIA DE PATAZ - DEPARTAMENTO DE LA LIBERTAD"" con Codigo Unico de Inversion N° 2502618.",PE-CONSUCODE-1244,MUNICIPALIDAD DISTRITAL DE SANTIAGO DE CHALLAS,2026-07-17T20:57:00-05:00,Licitación Pública Abreviada,works,works,4242280.92,PEN,Soles,4242280.92,2026-07-17T00:00:00-05:00,2026-07-17T00:00:00-05:00,2026-07-18T00:01:00-05:00,2026-07-22T23:59:00-05:00,4,False,2026-07,añoInicioConvocatoria;mesInicioConvocatoria,,,,,14
ocds-dgv273-seacev3-1236922,ocds-dgv273-seacev3-1236922-2026-08-30T10:02:42.303180-05:00,compiled,2026-08-30T10:02:42.303167-05:00,ocds-dgv273-seacev3-1236922,2026-08-30T10:02:42.303185-05:00,tender,PE-CONSUCODE-10434,DIRECCION REGIONAL AGRARIA CAJAMARCA,Fondos Públicos,RECUPERACION DE LOS SERVICIOS ECOSISTÉMICOS  EN 22 UNIDADES PRODUCTORAS  18 CENTROS POBLADOS 10 DISTRITOS  DE LA PROVINCIA DE CAJAMARCA DEL DEPARTAMENTO DE CAJAMARCA,2606246,1236922,DIRECTA-DIRECTA-8-2026-GR.CAJ/DRAC-DEC-1,"CONTRATACIÓN DE SERVICIO DE CONSULTORÍA DE OBRA PARA LA SUPERVISIÓN DE OBRA DEL PROYECTO DE INVERSIÓN DENOMINADO: ""RECUPERACION DE LOS SERVICIOS ECOSISTEMICOS EN 22 UNIDADES PRODUCTORAS, 18 CENTROS POBLADOS, 10 DISTRITOS DE LA PROVINCIA DE CAJAMARCA DEL DEPARTAMENTO DE CAJAMARCA¿ CUI N° 2606246",PE-CONSUCODE-10434,DIRECCION REGIONAL AGRARIA CAJAMARCA,2026-07-24T17:11:00-05:00,Contratación Directa,services,services,210000.0,PEN,Soles,210000.0,,,,,,False,2026-07,añoPublicacionProceso;mesPublicacionProceso,direct,210000.0,PEN,Soles,1
ocds-dgv273-seacev3-1233934,ocds-dgv273-seacev3-1233934-2026-08-30T10:02:41.675167-05:00,compiled,2026-08-30T10:02:41.675154-05:00,ocds-dgv273-seacev3-1233934,2026-08-30T10:02:41.675172-05:00,tender,PE-CONSUCODE-2379,ENTIDAD PRESTADORA DE SERVICIO DE SANEAMIENTO DE LORETO S.A.,Fondos Públicos,,,1233934,LP-ABR-14-2026-EPS SEDALORETO S.A.-1,ADQUISICION DE EQUIPOS PARA EL EQUIPAMIENTO DEL LABORATORIO DE LA EPS SEDALORETO S.A. - LOCALIDAD DE REQUENA - FICHA: RE-INST-05-CAL,PE-CONSUCODE-2379,ENTIDAD PRESTADORA DE SERVICIO DE SANEAMIENTO DE LORETO S.A.,2026-07-14T21:29:00-05:00,Licitación Pública Abreviada,goods,goods,314000.0,PEN,Soles,314000.0,2026-07-14T00:00:00-05:00,2026-07-14T00:00:00-05:00,2026-07-15T00:01:00-05:00,2026-07-17T23:59:00-05:00,2,False,2026-07,añoInicioConvocatoria;mesInicioConvocatoria,,,,,21
ocds-dgv273-seacev3-1235503,ocds-dgv273-seacev3-1235503-2026-08-30T10:02:41.587438-05:00,compiled,2026-08-30T10:02:41.587426-05:00,ocds-dgv273-seacev3-1235503,2026-08-30T10:02:41.587444-05:00,tender,PE-CONSUCODE-10407,GOBIERNO REGIONAL DE APURIMAC-TRANSPORTES CHANKA,Fondos Públicos,"MEJORAMIENTO DEL SERVICIO DE TRANSITABILIDAD VIAL INTERURBANA EN LA VIA VECINAL AP-541, DESDE EL EMP. 3S (TOTORABAMBA) , Y LA VIA VECINAL AP-549 (COCHARCAS), DE LOS   DISTRITOS DE ANCO_HUALLO, COCHARCAS DE LA PROVINCIA DE CHINCHEROS DEL DEPARTAMENTO DE APURIMAC",2611143,1235503,LP-ABR-4-2026-DSRTC-CH-1,"ADQUISICION DE ALCANTARILLA TMC PARA EL PROYECTO: MEJORAMIENTO DEL SERVICIO DE TRANSITABILIDAD VIAL INTERURBANA EN LA VIA VECINAL AP-541, DESDE EL EMP. 3S (TOTORABAMBA), Y LA VIA VECINAL AP-549 (COCHARCAS), DE LOS DISTRITOS DE ANCO_HUALLO, COCHARCAS DE LA PROVINCIA DE CHINCHEROS DEL DEPART. APURIMAC",PE-CONSUCODE-10407,GOBIERNO REGIONAL DE APURIMAC-TRANSPORTES CHANKA,2026-07-20T19:06:00-05:00,Licitación Pública Abreviada,goods,goods,169420.0,PEN,Soles,169420.0,2026-07-20T00:00:00-05:00,2026-07-20T00:00:00-05:00,2026-07-21T00:01:00-05:00,2026-07-24T23:59:00-05:00,3,False,2026-07,añoInicioConvocatoria;mesInicioConvocatoria,,334535.7,PEN,Soles,14
ocds-dgv273-seacev3-1235701,ocds-dgv273-seacev3-1235701-2026-08-30T10:02:41.291351-05:00,compiled,2026-08-30T10:02:41.291338-05:00,ocds-dgv273-seacev3-1235701,2026-08-30T10:02:41.291356-05:00,tender,PE-CONSUCODE-37,GOBIERNO REGIONAL DE CUSCO SEDE CENTRAL,Fondos Públicos,"MEJORAMIENTO DE LOS SERVICIOS DE EDUCACION SECUNDARIA EN LA INSTITUCION EDUCATIVA JERONIMO ZAVALA DEL DISTRITO DE COMBAPATA, PROVINCIA DE CANCHIS - CUSCO",2212409,1235701,LP-ABR-98-2026-OC-GR CUSCO-2,"ADQUISICION DE CONDUCTORES PARA MEJORAMIENTO DE LOS SERVICIOS DE EDUCACION SECUNDARIA EN LA INSTITUCION EDUCATIVA JERONIMO ZAVALA DEL DISTRITO DE COMBAPATA, PROVINCIA DE CANCHIS - CUSCO",PE-CONSUCODE-37,GOBIERNO REGIONAL DE CUSCO SEDE CENTRAL,2026-07-21T15:32:00-05:00,Licitación Pública Abreviada,goods,goods,121613.6,PEN,Soles,121613.6,2026-07-21T00:00:00-05:00,2026-07-21T00:00:00-05:00,2026-07-22T00:01:00-05:00,2026-07-30T23:59:00-05:00,8,False,2026-07,añoInicioConvocatoria;mesInicioConvocatoria,,,,,26
ocds-dgv273-seacev3-1233748,ocds-dgv273-seacev3-1233748-2026-08-30T10:02:40.246020-05:00,compiled,2026-08-30T10:02:40.246007-05:00,ocds-dgv273-seacev3-1233748,2026-08-30T10:02:40.246026-05:00,tender,PE-CONSUCODE-2601,SERVICIO DE ADMINISTRACION TRIBUTARIA TRUJILLO,Fondos Públicos,,,1233748,CP SER-SM-1-2026-SATT-1,Diseño e Implementación del Centro de Datos Principal del SATT,PE-CONSUCODE-2601,SERVICIO DE ADMINISTRACION TRIBUTARIA TRUJILLO,2026-07-15T15:34:00-05:00,Concurso Público de Servicios,services,services,1451384.0,PEN,Soles,1451384.0,2026-07-15T00:00:00-05:00,2026-07-15T00:00:00-05:00,2026-07-16T00:01:00-05:00,2026-08-03T23:59:00-05:00,18,False,2026-07,añoInicioConvocatoria;mesInicioConvocatoria,,,,,17
ocds-dgv273-seacev3-1235492,ocds-dgv273-seacev3-1235492-2026-08-30T10:02:40.173901-05:00,compiled,2026-08-30T10:02:40.173888-05:00,ocds-dgv273-seacev3-1235492,2026-08-30T10:02:40.173906-05:00,tender,PE-CONSUCODE-1068,MUNICIPALIDAD PROVINCIAL DE HUANCAYO,Fondos Públicos,"MEJORAMIENTO DE LAS VIAS LOCALES DEL SECTOR CB-17 - OCOPILLA,  DISTRITO DE HUANCAYO - PROVINCIA DE HUANCAYO - DEPARTAMENTO DE JUNIN",2475520,1235492,LP-ABR-16-2026-MPH/DEC-1,"ADQUISICION DE MADERAS PARA EJECUCIÓN DE LA OBRA: ""MEJORAMIENTO DE LAS VÍAS LOCALES DEL SECTOR CB-17-OCOPILLA, DISTRITO DE HUANCAYO, PROVINCIA.DE. HUANCAYO. JUNIN"" ¿ I ETAPA CUI N° 2475520",PE-CONSUCODE-1068,MUNICIPALIDAD PROVINCIAL DE HUANCAYO,2026-07-20T19:17:00-05:00,Licitación Pública Abreviada,goods,goods,126860.0,PEN,Soles,126860.0,2026-07-20T00:00:00-05:00,2026-07-20T00:00:00-05:00,2026-07-21T00:01:00-05:00,2026-07-24T23:59:00-05:00,3,False,2026-07,añoInicioConvocatoria;mesInicioConvocatoria,,126860.0,PEN,Soles,17
ocds-dgv273-seacev3-1235398,ocds-dgv273-seacev3-1235398-2026-08-30T10:02:40.078526-05:00,compiled,2026-08-30T10:02:40.078513-05:00,ocds-dgv273-seacev3-1235398,2026-08-30T10:02:40.078531-05:00,tender,PE-CONSUCODE-200551,INSTITUTO NACIONAL DE SALUD DEL NIÑO - SAN BORJA,Fondos Públicos,,,1235398,CP-ABR-7-2026-INSNSB-2,CONTRATACIÓN DEL SERVICIO DE ALQUILER DE DOS (02) ELECTROBISTURIS,PE-CONSUCODE-200551,INSTITUTO NACIONAL DE SALUD DEL NIÑO - SAN BORJA,2026-07-20T16:22:00-05:00,Concurso Público Abreviado,services,services,244000.0,PEN,Soles,244000.0,2026-07-20T00:00:00-05:00,2026-07-20T00:00:00-05:00,2026-07-21T00:01:00-05:00,2026-07-24T23:59:00-05:00,3,False,2026-07,añoInicioConvocatoria;mesInicioConvocatoria,,244000.0,PEN,Soles,1
ocds-dgv273-seacev3-1233143,ocds-dgv273-seacev3-1233143-2026-08-30T10:02:40.032256-05:00,compiled,2026-08-30T10:02:40.032242-05:00,ocds-dgv273-seacev3-1233143,2026-08-30T10:02:40.032261-05:00,tender,PE-CONSUCODE-10247,EJERCITO PERUANO,Fondos Públicos,,,1233143,SIE-SIE-2-2026-EP/UO 0732-1,"ADQUISICIÓN DE PRENDAS DE VESTUARIO Y TEXTILES, PARA EL PERSONAL DE LA EMCH, CUPAZ Y TSMV AF-2026",PE-CONSUCODE-10247,EJERCITO PERUANO,2026-07-10T23:22:00-05:00,Subasta Inversa Electrónica,goods,goods,3999892.66,PEN,Soles,3999892.66,2026-07-10T00:00:00-05:00,2026-07-10T00:00:00-05:00,,,,False,2026-07,añoInicioConvocatoria;mesInicioConvocatoria,open,7999785.32,PEN,Soles,16
ocds-dgv273-seacev3-1233377,ocds-dgv273-seacev3-1233377-2026-08-30T10:02:39.854164-05:00,compiled,2026-08-30T10:02:39.854152-05:00,ocds-dgv273-seacev3-1233377,2026-08-30T10:02:39.854170-05:00,tender,PE-CONSUCODE-850,MUNICIPALIDAD PROVINCIAL DE URUBAMBA,Fondos Públicos,,,1233377,LP-ABR-8-2025-MPU/CS-3,CONTRATACION DE PICADORAS DE FORRAJE Y MOLINO PARA DIFERENTES METAS PROCOMPITE,PE-CONSUCODE-850,MUNICIPALIDAD PROVINCIAL DE URUBAMBA,2026-07-13T16:54:00-05:00,Licitación Pública Abreviada,goods,goods,225600.0,PEN,Soles,225600.0,2026-07-13T00:00:00-05:00,2026-07-13T00:00:00-05:00,2026-07-14T00:01:00-05:00,2026-07-16T23:59:00-05:00,2,False,2026-07,añoInicioConvocatoria;mesInicioConvocatoria,,225600.0,PEN,Soles,9
