ocid,compiledRelease/id,compiledRelease/awards/0/id,compiledRelease/awards/0/value/amount,compiledRelease/awards/0/value/currency,compiledRelease/awards/0/value/currencyName,compiledRelease/awards/0/date
ocds-dgv273-seacev3-1246801,ocds-dgv273-seacev3-1246801-2026-09-18T10:23:23.796108-05:00,1246801-1827769,1393280.27,PEN,Soles,2026-09-08T00:00:00-05:00
ocds-dgv273-seacev3-2026-1967-27,ocds-dgv273-seacev3-2026-1967-27-2026-09-18T10:23:21.640854-05:00,1229387-1819769,432000.0,PEN,Soles,2026-08-17T00:00:00-05:00
ocds-dgv273-seacev3-1224465,ocds-dgv273-seacev3-1224465-2026-09-18T10:23:21.182243-05:00,1224465-20100027021,591870.3,PEN,Nuevos Soles,2026-09-16T00:00:00-05:00
ocds-dgv273-seacev3-1250498,ocds-dgv273-seacev3-1250498-2026-09-18T10:23:20.582176-05:00,1250498-1832949,1668550.17,PEN,Soles,2026-09-16T00:00:00-05:00
ocds-dgv273-seacev3-1229667,ocds-dgv273-seacev3-1229667-2026-09-18T10:23:18.610455-05:00,1229667-20521292653,410000.0,PEN,Soles,2026-09-04T00:00:00-05:00
ocds-dgv273-seacev3-1228458,ocds-dgv273-seacev3-1228458-2026-09-18T10:23:18.558138-05:00,1228458-20608308033,59700.0,PEN,Soles,2026-08-03T00:00:00-05:00
ocds-dgv273-seacev3-2026-1003000933-33,ocds-dgv273-seacev3-2026-1003000933-33-2026-09-18T10:23:18.528789-05:00,1228929-20100061474,117556.52,PEN,Soles,2026-09-08T00:00:00-05:00
ocds-dgv273-seacev3-2026-1003000933-33,ocds-dgv273-seacev3-2026-1003000933-33-2026-09-18T10:23:18.528789-05:00,1228929-20100220700,224100.0,PEN,Soles,2026-09-08T00:00:00-05:00
ocds-dgv273-seacev3-2026-1003000933-33,ocds-dgv273-seacev3-2026-1003000933-33-2026-09-18T10:23:18.528789-05:00,1228929-20262996329,790322.0,PEN,Soles,2026-09-08T00:00:00-05:00
ocds-dgv273-seacev3-2026-1003000933-33,ocds-dgv273-seacev3-2026-1003000933-33-2026-09-18T10:23:18.528789-05:00,1228929-20517656055,130891.7,PEN,Soles,2026-09-08T00:00:00-05:00
ocds-dgv273-seacev3-2026-1003000933-33,ocds-dgv273-seacev3-2026-1003000933-33-2026-09-18T10:23:18.528789-05:00,1228929-20608557190,96600.0,PEN,Soles,2026-09-08T00:00:00-05:00
ocds-dgv273-seacev3-1226082,ocds-dgv273-seacev3-1226082-2026-09-18T10:23:18.495974-05:00,1226082-20526312628,319308.0,PEN,Soles,2026-08-21T00:00:00-05:00
ocds-dgv273-seacev3-1229689,ocds-dgv273-seacev3-1229689-2026-09-18T10:23:18.421646-05:00,1229689-20602951899,365040.0,PEN,Soles,2026-09-09T00:00:00-05:00
ocds-dgv273-seacev3-1225300,ocds-dgv273-seacev3-1225300-2026-09-18T10:23:18.389979-05:00,1225300-10166233238,180000.0,PEN,Soles,2026-06-18T00:00:00-05:00
ocds-dgv273-seacev3-1226900,ocds-dgv273-seacev3-1226900-2026-09-18T10:23:18.379373-05:00,1226900-1817608,1116114.4,PEN,Soles,2026-08-17T00:00:00-05:00
ocds-dgv273-seacev3-2026-1343-20,ocds-dgv273-seacev3-2026-1343-20-2026-09-18T10:23:18.345549-05:00,1221043-1804347,1771012.23,PEN,Soles,2026-07-01T00:00:00-05:00
ocds-dgv273-seacev3-1235097,ocds-dgv273-seacev3-1235097-2026-09-18T10:23:18.317782-05:00,1235097-1817088,5667044.53,PEN,Soles,2026-08-10T00:00:00-05:00
ocds-dgv273-seacev3-2026-1003013319-31,ocds-dgv273-seacev3-2026-1003013319-31-2026-09-18T10:23:18.260559-05:00,1222969-1817922,4969415.09,PEN,Soles,2026-08-26T00:00:00-05:00
ocds-dgv273-seacev3-2026-1003013319-31,ocds-dgv273-seacev3-2026-1003013319-31-2026-09-18T10:23:18.260559-05:00,1222969-20493281179,2400617.49,PEN,Soles,2026-08-26T00:00:00-05:00
ocds-dgv273-seacev3-1221177,ocds-dgv273-seacev3-1221177-2026-09-18T10:23:18.244973-05:00,1221177-20553404631,59999.0,PEN,Soles,2026-06-25T00:00:00-05:00
ocds-dgv273-seacev3-1226055,ocds-dgv273-seacev3-1226055-2026-09-18T10:23:18.230265-05:00,1226055-1818369,319308.0,PEN,Soles,2026-09-09T00:00:00-05:00
ocds-dgv273-seacev3-1223950,ocds-dgv273-seacev3-1223950-2026-09-18T10:23:18.214863-05:00,1223950-20533168087,95000.0,PEN,Soles,2026-08-14T00:00:00-05:00
ocds-dgv273-seacev3-1227038,ocds-dgv273-seacev3-1227038-2026-09-18T10:23:18.186570-05:00,1227038-20550229502,843581.0,PEN,Soles,2026-08-05T00:00:00-05:00
ocds-dgv273-seacev3-2026-10420-7,ocds-dgv273-seacev3-2026-10420-7-2026-09-18T10:23:18.156057-05:00,1226703-20612048194,90420.0,PEN,Soles,2026-07-06T00:00:00-05:00
ocds-dgv273-seacev3-2026-10420-7,ocds-dgv273-seacev3-2026-10420-7-2026-09-18T10:23:18.156057-05:00,1226703-20124794413,137038.0,PEN,Soles,2026-08-14T00:00:00-05:00
ocds-dgv273-seacev3-1242847,ocds-dgv273-seacev3-1242847-2026-09-18T10:23:14.044491-05:00,1242847-20484206997,1040601.17,PEN,Soles,2026-08-31T00:00:00-05:00
ocds-dgv273-seacev3-1229044,ocds-dgv273-seacev3-1229044-2026-09-18T10:23:12.289252-05:00,1229044-1817786,108545044.8,PEN,Soles,2026-08-05T00:00:00-05:00
ocds-dgv273-seacev3-1241707,ocds-dgv273-seacev3-1241707-2026-09-18T10:23:11.181998-05:00,1241707-20558243717,55512.6,PEN,Soles,2026-08-20T00:00:00-05:00
ocds-dgv273-seacev3-1245267,ocds-dgv273-seacev3-1245267-2026-09-18T10:23:07.854620-05:00,1245267-20519753830,469000.0,PEN,Soles,2026-09-03T00:00:00-05:00
ocds-dgv273-seacev3-1246536,ocds-dgv273-seacev3-1246536-2026-09-18T10:23:07.815939-05:00,1246536-20448133517,345000.0,PEN,Soles,2026-09-16T00:00:00-05:00
ocds-dgv273-seacev3-2026-1314-5,ocds-dgv273-seacev3-2026-1314-5-2026-09-18T10:23:07.710224-05:00,1228428-20553577579,1547629.2,PEN,Soles,2026-07-30T18:15:21-05:00
ocds-dgv273-seacev3-1229628,ocds-dgv273-seacev3-1229628-2026-09-18T10:23:07.678866-05:00,1229628-20543616967,355241.3,PEN,Soles,2026-09-09T00:00:00-05:00
